"","data_source","region","count"
"1","acoustic","EFL_Shelf",231
"2","acoustic","SFL_Shelf",2
"3","mark-recapture","EFL_Shelf",69
"4","mark-recapture","FL_Panhandle",252
"5","mark-recapture","NCentral_GOA_Shelf",84
"6","mark-recapture","SFL_Shelf",3
"7","mark-recapture","TX_Shelf",26
"8","mark-recapture","WFL_Shelf",46
